Prefetcher,Client,Server,Spec,Culmulative
no,1.1909663644855426,0.8440003735172683,0.7905961806048415,0.8836848841477513
D_JOLT,1.2927969460412216,1.1794639080095957,0.8298745013480916,1.1394252748845808
D_JOLT_hist_-2,1.2926283656948174,1.1780380883915127,0.8287759264751445,1.138226046666415
D_JOLT_hist_-1,1.292337653034474,1.178882580394317,0.8292705456738125,1.1388512914469704
D_JOLT,1.2927969460412216,1.1794639080095957,0.8298745013480916,1.1394252748845808
D_JOLT_hist_+1,1.2935059483539053,1.1777088955718775,0.8305600026144929,1.1384696552622813
D_JOLT_hist_+2,1.2939090938483562,1.1762916212319787,0.8298041376460767,1.137422168223455
D_JOLT_dist_-2,1.2923781537819652,1.1753234599413234,0.8293002957211788,1.1364548217182937
D_JOLT_dist_-1,1.2933810326340467,1.1773293579263477,0.8297311213644082,1.1380361371066472
D_JOLT,1.2927969460412216,1.1794639080095957,0.8298745013480916,1.1394252748845808
D_JOLT_dist_+1,1.2925979327209556,1.1774216598642044,0.8295872803406588,1.1379606889824265
D_JOLT_dist_+2,1.2909853423573516,1.1755751791642772,0.8295929269294681,1.1364852434044153
D_JOLT_way2,1.2813510352343993,1.1697926796352744,0.827364603991899,1.1307867228233588
D_JOLT,1.2927969460412216,1.1794639080095957,0.8298745013480916,1.1394252748845808
D_JOLT_way8,1.3006632798294764,1.1803707885142338,0.8308304832407255,1.141329485363407
D_JOLT_set05,1.2816884408411575,1.1709284931510942,0.8280010584343461,1.1317246663599327
D_JOLT,1.2927969460412216,1.1794639080095957,0.8298745013480916,1.1394252748845808
D_JOLT_set2,1.299710733138611,1.180467866664408,0.8308753822735682,1.1412700398214068
EIP,1.3113591500323818,1.1842255323613267,0.8309282568162606,1.1454561078715748
EIP_BBsize_1,1.2686141386782832,1.0637321468961296,0.8154870259308482,1.0541774315269212
EIP_BBsize_2,1.299954020888899,1.1477853356576349,0.8272409612737954,1.1184058581505834
EIP_BBsize_3,1.3094533542881377,1.1675618814810351,0.8305672502529691,1.133816604801303
EIP_BBsize_4,1.311145974337967,1.1777358840373422,0.8304177655239201,1.1409306077615242
EIP_BBsize_5,1.311435990167709,1.181345823150798,0.8305474714860142,1.1434429343601895
EIP_BBsize_6,1.3113591500323818,1.1824770655811339,0.8309360433001463,1.1442734891224222
EIP,1.3113591500323818,1.1842255323613267,0.8309282568162606,1.1454561078715748
EIP_BBsize_8,1.3113591500323818,1.1842255323613267,0.8309282568162606,1.1454561078715748
EIP_BBsize_9,1.3113591500323818,1.1842255323613267,0.8309282568162606,1.1454561078715748
EIP,1.3113591500323818,1.1842255323613267,0.8309282568162606,1.1454561078715748
EIP_Conf_Th_2,1.3089314847504898,1.1843265270407393,0.8296912982562216,1.1449460971870706
EIP_Conf_Th_3,1.310228698209041,1.1847384735743751,0.8307818162377935,1.1456170254341367
EIP_way14,1.297846367161173,1.176669022792155,0.8305413358239923,1.1383723149254066
EIP,1.3113591500323818,1.1842255323613267,0.8309282568162606,1.1454561078715748
EIP_way71,1.3180230515920484,1.1851642007748986,0.8327701077289938,1.1473770692354643
EIP_set7,1.3015842971274592,1.181334978904842,0.8306275210618635,1.1420722962553598
EIP,1.3113591500323818,1.1842255323613267,0.8309282568162606,1.1454561078715748
EIP_set9,1.317956771238494,1.1852031959441036,0.8326752640742214,1.147375967636104
